generator,smiles,valid,tanimoto,QED,SA,lipinski_pass,MW,cLogP,AlertFree,LipinskiPass,PredAffinity,canonical_smiles,murcko_scaffold,murcko_generic_scaffold
diffusion,C=C(Nc1c(C)cccc1O)n1ccc(Cc2cc(C)cc(C3CCC(CNC)CN3)c2)c1,1,0.16216216216216217,0.3607116776959661,3.9734665470230537,0,444.6230000000002,5.2017400000000045,0,0,11.992692947387695,C=C(Nc1c(C)cccc1O)n1ccc(Cc2cc(C)cc(C3CCC(CNC)CN3)c2)c1,C=C(Nc1ccccc1)n1ccc(Cc2cccc(C3CCCCN3)c2)c1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
diffusion,C=C(Cc1c(C)cccc1C)n1cc(Nc2cc(C)nc(C3CCC(CCC)CC3)n2)cn1,1,0.20388349514563106,0.4022269709882723,3.103070832632161,0,443.6390000000003,7.129260000000007,1,0,11.917524337768555,C=C(Cc1c(C)cccc1C)n1cc(Nc2cc(C)nc(C3CCC(CCC)CC3)n2)cn1,C=C(Cc1ccccc1)n1cc(Nc2ccnc(C3CCCCC3)n2)cn1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
diffusion,C=C(Cc1c(N)ccnc1C)c1ncn(Nc2cc(C)cc(C3CCC(CCC)CC3)n2)n1,1,0.13043478260869565,0.47719456500962343,3.5404413727303616,0,445.61500000000035,5.472140000000005,1,0,11.904984474182129,C=C(Cc1c(N)ccnc1C)c1ncn(Nc2cc(C)cc(C3CCC(CCC)CC3)n2)n1,C=C(Cc1cccnc1)c1ncn(Nc2cccc(C3CCCCC3)n2)n1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
diffusion,C=C(Cc1c(C)cccc1C)n1ccc(Cc2cc(C)cc(C3CCC(CNC)CC3)c2)c1,1,0.14285714285714285,0.39142887546684063,3.0286079848416545,0,440.67500000000024,7.210760000000008,1,0,11.895591735839844,C=C(Cc1c(C)cccc1C)n1ccc(Cc2cc(C)cc(C3CCC(CNC)CC3)c2)c1,C=C(Cc1ccccc1)n1ccc(Cc2cccc(C3CCCCC3)c2)c1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
diffusion,C=C(Cc1c(C)cccc1C)n1cc(Cc2cc(C)nc(C3CCC(NCC)NC3)c2)nn1,1,0.1504424778761062,0.5420557063853605,4.219269656679353,1,444.6270000000002,4.3051600000000025,1,1,11.855378150939941,C=C(Cc1c(C)cccc1C)n1cc(Cc2cc(C)nc(C3CCC(NCC)NC3)c2)nn1,C=C(Cc1ccccc1)n1cc(Cc2ccnc(C3CCCNC3)c2)nn1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
diffusion,C=C(Cc1c(C)cccc1C)n1ccc(CC2=CN(C3CCC(NCC)NC3)C=C(C)O2)c1,1,0.12280701754385964,0.5931416183790155,4.644455581392939,0,446.63900000000024,5.083340000000003,1,0,11.84848403930664,C=C(Cc1c(C)cccc1C)n1ccc(CC2=CN(C3CCC(NCC)NC3)C=C(C)O2)c1,C=C(Cc1ccccc1)n1ccc(CC2=CN(C3CCCNC3)C=CO2)c1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
diffusion,CCNC1CCC(c2cc(C)cc(Cc3cnn(C(=N)Cc4c(C)ccnc4C)c3)c2)NC1,1,0.1282051282051282,0.37571922888213494,4.095809100214543,1,444.6270000000002,4.264830000000003,0,1,11.805554389953613,CCNC1CCC(c2cc(C)cc(Cc3cnn(C(=N)Cc4c(C)ccnc4C)c3)c2)NC1,N=C(Cc1cccnc1)n1cc(Cc2cccc(C3CCCCN3)c2)cn1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
diffusion,C=C(Cc1c(C)cncc1C)c1ncc(Cc2cc(C)nc(C3CCC(NCC)CC3)c2)s1,1,0.14953271028037382,0.4260042985282563,3.2908659226485293,0,460.69100000000026,6.340760000000007,1,0,11.800484657287598,C=C(Cc1c(C)cncc1C)c1ncc(Cc2cc(C)nc(C3CCC(NCC)CC3)c2)s1,C=C(Cc1ccncc1)c1ncc(Cc2ccnc(C3CCCCC3)c2)s1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
diffusion,C=C(Oc1c(C)ncnc1N)n1cnc(Cc2cc(N)cc(C3CCC(NCC)CN3)c2)n1,1,0.09836065573770492,0.30005731341201886,4.3294217025058686,1,449.5630000000002,2.04152,0,1,11.791177749633789,C=C(Oc1c(C)ncnc1N)n1cnc(Cc2cc(N)cc(C3CCC(NCC)CN3)c2)n1,C=C(Oc1cncnc1)n1cnc(Cc2cccc(C3CCCCN3)c2)n1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
diffusion,C=[IH](Cc1c(C)cccc1C)c1cc(Cc2cc(N)nc(N3CCC(CNO)NC3)c2)co1,1,0.2,0.18892162275463803,4.704795352260371,0,563.4840000000003,3.609540000000001,0,0,11.781414031982422,C=[IH](Cc1c(C)cccc1C)c1cc(Cc2cc(N)nc(N3CCC(CNO)NC3)c2)co1,C=[IH](Cc1ccccc1)c1cc(Cc2ccnc(N3CCCNC3)c2)co1,CC(CC1CCCCC1)C1CCC(CC2CCCC(C3CCCCC3)C2)C1
