ident,role,label,model_pred,corr_to_mean_profile,profile_max,profile_entropy
CHEMBL268868,active,1,11.284513473510742,0.9846324270986139,0.003355911700055003,6.84719389240723
CHEMBL470011,active,1,12.695122718811035,0.9568718212251197,0.005507238209247589,6.904013501717417
CHEMBL7827,active,1,11.794482231140137,0.89978167449676,0.002980148419737816,6.879142192691152
CHEMBL337026,active,1,13.214447021484377,0.9081210315226412,0.003992012701928616,6.885783296916863
CHEMBL193544,active,1,14.563854217529297,0.9852086753599688,0.004622337874025106,6.8744223867490835
CHEMBL26641,active,1,11.091472625732422,0.9869463529378206,0.0035492051392793655,6.898101659885921
CHEMBL372523,active,1,12.52911376953125,0.98756610326738,0.003119817702099681,6.949572481526058
CHEMBL565714,active,1,12.161240577697754,0.9509843311262337,0.004971400368958712,6.87581001056918
CHEMBL379001,active,1,10.826623916625977,0.9812435866938904,0.004280179273337126,6.91505291111841
CHEMBL470219,active,1,14.136030197143556,0.9896954763756968,0.003146163420751691,6.942756746915908
CHEMBL433305,active,1,10.70010757446289,0.9789927209679994,0.003315686946734786,6.8617389558517
CHEMBL1090357,active,1,14.037254333496094,0.9613455938170853,0.0028085859958082438,6.977188790534525
CHEMBL516979,active,1,14.457502365112305,0.9927506900147365,0.003523290390148759,6.912926105752037
CHEMBL116547,active,1,11.056007385253906,0.970730286922817,0.0032038420904427767,6.870155555575494
CHEMBL508760,active,1,12.881674766540527,0.990064008645563,0.0036895109806209803,6.932448199214053
CHEMBL45827,active,1,12.667224884033203,0.9401672851393346,0.0033461947459727526,6.990739741823297
CHEMBL90541,active,1,11.694683074951172,0.9583735143219043,0.0032104579731822014,6.892437157595798
CHEMBL592466,active,1,13.314181327819824,0.9910845278656356,0.0030456846579909325,6.904502050163854
CHEMBL522134,active,1,11.100568771362305,0.9739949031282297,0.005178756546229124,6.878060441794721
CHEMBL168366,active,1,11.665555000305176,0.9787657339413826,0.005480216816067696,6.8475135155639055
CHEMBL53203,active,1,11.172199249267578,0.9828863117980022,0.003688598982989788,6.8278786033149075
CHEMBL63356,active,1,10.721867561340332,0.917129764917376,0.002772395731881261,6.867340779011642
CHEMBL566337,active,1,11.529773712158203,0.9844145671050627,0.0038356445729732513,6.899566729535595
CHEMBL1173655,active,1,14.05302906036377,0.9875804340463825,0.0031682290136814117,6.927708692053069
